sku_id,category,week_start,demand_units,ratio_to_trend,anomaly_type,anomaly_score
SKU0030,Electronics & Appliances,2025-09-30,171,2.240174672489083,DEMAND SPIKE,-0.2313781204424058
SKU0026,Electronics & Appliances,2025-09-30,127,2.458064516129032,DEMAND SPIKE,-0.22975803879167078
SKU0115,Beauty & Personal Care,2025-09-30,537,2.2144329896907218,DEMAND SPIKE,-0.22360409392540503
SKU0019,Mobiles & Accessories,2025-09-30,203,2.1945945945945944,DEMAND SPIKE,-0.21166751721335142
SKU0015,Mobiles & Accessories,2025-09-30,773,2.189801699716714,DEMAND SPIKE,-0.21100985790083582
SKU0016,Mobiles & Accessories,2025-09-30,214,2.1616161616161618,DEMAND SPIKE,-0.20840199688444971
SKU0014,Mobiles & Accessories,2025-09-30,409,2.2701202590194267,DEMAND SPIKE,-0.20257547211560123
SKU0127,Beauty & Personal Care,2025-09-30,627,2.2313167259786475,DEMAND SPIKE,-0.2019918329228585
SKU0117,Beauty & Personal Care,2025-09-30,496,2.2292134831460673,DEMAND SPIKE,-0.20094576776710116
SKU0055,Fashion & Apparel,2025-09-30,390,2.193064667291471,DEMAND SPIKE,-0.19937931810684273
SKU0036,Electronics & Appliances,2025-09-30,224,2.123222748815166,DEMAND SPIKE,-0.19791336810651705
SKU0033,Electronics & Appliances,2025-09-30,139,2.1550387596899223,DEMAND SPIKE,-0.19780832189105846
SKU0006,Mobiles & Accessories,2025-09-30,438,2.2577319587628866,DEMAND SPIKE,-0.1976505344598568
SKU0078,Home & Kitchen,2025-12-30,17,0.3138461538461539,DEMAND DROP,-0.19707339551997838
SKU0052,Fashion & Apparel,2025-09-30,1011,2.1641098822689973,DEMAND SPIKE,-0.1957154783295484
SKU0070,Fashion & Apparel,2025-09-30,590,2.177121771217712,DEMAND SPIKE,-0.1954347312631134
SKU0001,Mobiles & Accessories,2025-09-30,804,2.1392461197339245,DEMAND SPIKE,-0.19339336935416185
SKU0079,Home & Kitchen,2025-09-30,189,2.2455445544554453,DEMAND SPIKE,-0.19231974081969738
SKU0091,Home & Kitchen,2025-09-30,156,2.3054187192118225,DEMAND SPIKE,-0.19164583501719268
