sku_id,sku_name,category,abc_class,on_hand_units,days_of_cover,supplier_lead_time_days,avg_daily_demand,forecast_demand_units,reorder_point_units,safety_stock_units,needs_reorder,urgency,suggested_order_qty,alert_message
SKU0001,Mobiles Item 001,Mobiles & Accessories,A,0,0.0,5,52.63,491.4,375.0,111.8,True,CRITICAL,1446.0,"[CRITICAL] SKU0001 (Mobiles Item 001, Mobiles & Accessories, Class A): 0 units on hand = 0.0 days of cover vs 5-day lead time. Forecasted demand next week: 491 units. Recommend ordering 1446 units now."
SKU0002,Mobiles Item 002,Mobiles & Accessories,A,0,0.0,4,33.32,269.4,201.8,68.5,True,CRITICAL,761.0,"[CRITICAL] SKU0002 (Mobiles Item 002, Mobiles & Accessories, Class A): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 269 units. Recommend ordering 761 units now."
SKU0003,Mobiles Item 003,Mobiles & Accessories,A,1,0.0,5,53.84,493.3,393.0,123.8,True,CRITICAL,1462.0,"[CRITICAL] SKU0003 (Mobiles Item 003, Mobiles & Accessories, Class A): 1 units on hand = 0.0 days of cover vs 5-day lead time. Forecasted demand next week: 493 units. Recommend ordering 1462 units now."
SKU0006,Mobiles Item 006,Mobiles & Accessories,A,18,0.7,7,27.13,225.4,270.2,80.3,True,CRITICAL,738.0,"[CRITICAL] SKU0006 (Mobiles Item 006, Mobiles & Accessories, Class A): 18 units on hand = 0.7 days of cover vs 7-day lead time. Forecasted demand next week: 225 units. Recommend ordering 738 units now."
SKU0007,Mobiles Item 007,Mobiles & Accessories,A,0,0.0,5,49.72,466.3,356.6,108.0,True,CRITICAL,1374.0,"[CRITICAL] SKU0007 (Mobiles Item 007, Mobiles & Accessories, Class A): 0 units on hand = 0.0 days of cover vs 5-day lead time. Forecasted demand next week: 466 units. Recommend ordering 1374 units now."
SKU0008,Mobiles Item 008,Mobiles & Accessories,A,0,0.0,4,44.82,421.2,271.2,91.9,True,CRITICAL,1175.0,"[CRITICAL] SKU0008 (Mobiles Item 008, Mobiles & Accessories, Class A): 0 units on hand = 0.0 days of cover vs 4-day lead time. Forecasted demand next week: 421 units. Recommend ordering 1175 units now."
SKU0009,Mobiles Item 009,Mobiles & Accessories,A,21,1.5,4,13.59,96.4,85.6,31.3,True,CRITICAL,258.0,"[CRITICAL] SKU0009 (Mobiles Item 009, Mobiles & Accessories, Class A): 21 units on hand = 1.5 days of cover vs 4-day lead time. Forecasted demand next week: 96 units. Recommend ordering 258 units now."
SKU0010,Mobiles Item 010,Mobiles & Accessories,A,0,0.0,3,26.71,214.9,127.0,46.9,True,CRITICAL,569.0,"[CRITICAL] SKU0010 (Mobiles Item 010, Mobiles & Accessories, Class A): 0 units on hand = 0.0 days of cover vs 3-day lead time. Forecasted demand next week: 215 units. Recommend ordering 569 units now."
SKU0012,Mobiles Item 012,Mobiles & Accessories,A,28,1.4,5,20.46,172.6,151.0,48.7,True,CRITICAL,489.0,"[CRITICAL] SKU0012 (Mobiles Item 012, Mobiles & Accessories, Class A): 28 units on hand = 1.4 days of cover vs 5-day lead time. Forecasted demand next week: 173 units. Recommend ordering 489 units now."
SKU0013,Mobiles Item 013,Mobiles & Accessories,A,58,3.2,14,18.09,163.7,330.3,77.0,True,CRITICAL,674.0,"[CRITICAL] SKU0013 (Mobiles Item 013, Mobiles & Accessories, Class A): 58 units on hand = 3.2 days of cover vs 14-day lead time. Forecasted demand next week: 164 units. Recommend ordering 674 units now."
SKU0015,Mobiles Item 015,Mobiles & Accessories,A,42,0.9,7,48.62,461.6,477.8,137.4,True,CRITICAL,1480.0,"[CRITICAL] SKU0015 (Mobiles Item 015, Mobiles & Accessories, Class A): 42 units on hand = 0.9 days of cover vs 7-day lead time. Forecasted demand next week: 462 units. Recommend ordering 1480 units now."
