sku_id,fc_id,on_hand_units,supplier_lead_time_days,moq_units
SKU0001,FC03,0,5,50
SKU0001,FC05,0,5,50
SKU0002,FC05,0,4,20
SKU0002,FC02,0,4,20
SKU0002,FC03,0,4,20
SKU0002,FC04,0,4,20
SKU0003,FC02,0,5,50
SKU0003,FC05,0,5,50
SKU0003,FC01,1,5,50
SKU0003,FC03,0,5,50
SKU0004,FC04,0,3,20
SKU0004,FC03,0,3,20
SKU0004,FC02,0,3,20
SKU0005,FC01,31,2,25
SKU0005,FC04,34,2,25
SKU0005,FC03,30,2,25
SKU0006,FC05,10,7,10
SKU0006,FC03,0,7,10
SKU0006,FC04,0,7,10
SKU0006,FC02,8,7,10
SKU0007,FC01,0,5,25
SKU0007,FC03,0,5,25
SKU0007,FC04,0,5,25
SKU0008,FC01,0,4,25
SKU0008,FC03,0,4,25
SKU0008,FC04,0,4,25
SKU0009,FC02,14,4,100
SKU0009,FC03,7,4,100
SKU0010,FC01,0,3,50
SKU0010,FC03,0,3,50
SKU0010,FC05,0,3,50
SKU0011,FC04,47,2,25
SKU0011,FC05,37,2,25
SKU0012,FC05,0,5,50
SKU0012,FC02,23,5,50
SKU0012,FC01,5,5,50
SKU0013,FC03,28,14,50
SKU0013,FC01,0,14,50
SKU0013,FC02,0,14,50
SKU0013,FC05,30,14,50
SKU0014,FC05,28,2,25
SKU0014,FC02,29,2,25
SKU0014,FC01,34,2,25
SKU0014,FC03,26,2,25
SKU0015,FC05,7,7,50
SKU0015,FC01,16,7,50
SKU0015,FC03,19,7,50
SKU0016,FC01,0,4,25
SKU0016,FC04,0,4,25
SKU0016,FC02,0,4,25
SKU0017,FC04,0,3,25
SKU0017,FC01,0,3,25
SKU0017,FC05,0,3,25
SKU0018,FC03,0,4,20
SKU0018,FC02,0,4,20
SKU0018,FC01,0,4,20
SKU0018,FC05,0,4,20
SKU0019,FC04,4,7,50
SKU0019,FC03,2,7,50
SKU0019,FC02,0,7,50
SKU0019,FC01,39,7,50
SKU0020,FC03,35,7,20
SKU0020,FC05,9,7,20
SKU0021,FC05,24,7,25
SKU0021,FC01,14,7,25
SKU0021,FC02,11,7,25
SKU0021,FC04,13,7,25
SKU0022,FC04,25,2,50
SKU0022,FC03,13,2,50
SKU0022,FC01,61,2,50
SKU0023,FC04,14,3,50
SKU0023,FC02,11,3,50
SKU0023,FC01,11,3,50
SKU0023,FC05,12,3,50
SKU0024,FC02,98,2,100
SKU0024,FC03,33,2,100
SKU0024,FC05,15,2,100
SKU0024,FC01,12,2,100
SKU0025,FC01,13,14,20
SKU0025,FC05,6,14,20
SKU0025,FC02,0,14,20
SKU0026,FC05,0,4,100
SKU0026,FC04,4,4,100
SKU0026,FC03,27,4,100
SKU0027,FC05,48,2,50
SKU0027,FC04,8,2,50
SKU0027,FC02,24,2,50
SKU0027,FC01,12,2,50
SKU0028,FC05,42,2,10
SKU0028,FC03,46,2,10
SKU0028,FC01,45,2,10
SKU0029,FC03,0,10,10
SKU0029,FC02,0,10,10
SKU0029,FC01,0,10,10
SKU0029,FC04,0,10,10
SKU0030,FC05,0,4,25
SKU0030,FC03,0,4,25
SKU0030,FC04,0,4,25
SKU0031,FC05,0,10,50
SKU0031,FC01,0,10,50
SKU0031,FC02,0,10,50
SKU0032,FC05,0,5,20
SKU0032,FC01,9,5,20
SKU0033,FC02,0,3,10
SKU0033,FC01,0,3,10
SKU0034,FC05,0,5,25
SKU0034,FC02,1,5,25
SKU0034,FC03,7,5,25
SKU0035,FC01,10,3,25
SKU0035,FC02,0,3,25
SKU0036,FC05,0,4,10
SKU0036,FC01,0,4,10
SKU0037,FC01,0,10,50
SKU0037,FC05,0,10,50
SKU0037,FC03,0,10,50
SKU0037,FC04,0,10,50
SKU0038,FC04,0,10,20
SKU0038,FC03,0,10,20
SKU0038,FC02,0,10,20
SKU0039,FC04,0,3,20
SKU0039,FC05,0,3,20
SKU0039,FC02,0,3,20
SKU0040,FC03,9,10,100
SKU0040,FC05,0,10,100
SKU0040,FC02,0,10,100
SKU0041,FC04,0,5,20
SKU0041,FC01,0,5,20
SKU0042,FC03,0,5,10
SKU0042,FC04,0,5,10
SKU0043,FC02,5,7,100
SKU0043,FC04,16,7,100
SKU0043,FC05,36,7,100
SKU0044,FC03,0,5,25
SKU0044,FC01,0,5,25
SKU0045,FC01,13,7,10
SKU0045,FC03,1,7,10
SKU0045,FC05,17,7,10
SKU0046,FC01,0,4,50
SKU0046,FC03,0,4,50
SKU0046,FC02,0,4,50
SKU0046,FC04,0,4,50
SKU0047,FC01,0,3,25
SKU0047,FC05,0,3,25
SKU0048,FC03,0,10,50
SKU0048,FC02,0,10,50
SKU0048,FC05,0,10,50
SKU0048,FC01,0,10,50
SKU0049,FC03,0,5,50
SKU0049,FC02,0,5,50
SKU0050,FC05,0,3,100
SKU0050,FC02,0,3,100
SKU0050,FC01,0,3,100
SKU0051,FC05,0,10,10
SKU0051,FC04,0,10,10
SKU0052,FC04,63,2,50
SKU0052,FC05,78,2,50
SKU0052,FC02,78,2,50
SKU0052,FC01,80,2,50
SKU0053,FC01,151,2,50
SKU0053,FC05,157,2,50
SKU0054,FC02,88,2,100
SKU0054,FC03,83,2,100
SKU0054,FC01,87,2,100
SKU0054,FC04,90,2,100
SKU0055,FC03,0,4,10
SKU0055,FC02,0,4,10
SKU0055,FC01,0,4,10
SKU0056,FC04,1,7,10
SKU0056,FC01,7,7,10
SKU0056,FC03,10,7,10
SKU0056,FC02,12,7,10
SKU0057,FC02,66,2,25
SKU0057,FC05,65,2,25
SKU0058,FC01,69,2,50
SKU0058,FC02,61,2,50
SKU0058,FC03,67,2,50
SKU0058,FC04,74,2,50
