sku_id,sku_name,category,unit_cost,unit_price,supplier_lead_time_days,base_daily_demand,assigned_fcs,moq_units
SKU0001,Mobiles Item 001,Mobiles & Accessories,15506.63,19574.72,5,35.5,FC03|FC05,50
SKU0002,Mobiles Item 002,Mobiles & Accessories,14946.65,19865.33,4,22.4,FC05|FC02|FC03|FC04,20
SKU0003,Mobiles Item 003,Mobiles & Accessories,10648.75,14309.59,5,34.5,FC02|FC05|FC01|FC03,50
SKU0004,Mobiles Item 004,Mobiles & Accessories,4512.26,5670.52,3,9.4,FC04|FC03|FC02,20
SKU0005,Mobiles Item 005,Mobiles & Accessories,7873.78,9890.4,2,14.1,FC01|FC04|FC03,25
SKU0006,Mobiles Item 006,Mobiles & Accessories,17325.19,20984.11,7,18.0,FC05|FC03|FC04|FC02,10
SKU0007,Mobiles Item 007,Mobiles & Accessories,4272.05,5797.0,5,33.2,FC01|FC03|FC04,25
SKU0008,Mobiles Item 008,Mobiles & Accessories,3268.58,4354.27,4,29.4,FC01|FC03|FC04,25
SKU0009,Mobiles Item 009,Mobiles & Accessories,11174.55,14420.53,4,9.0,FC02|FC03,100
SKU0010,Mobiles Item 010,Mobiles & Accessories,4917.1,6613.78,3,17.0,FC01|FC03|FC05,50
SKU0011,Mobiles Item 011,Mobiles & Accessories,9034.35,10752.69,2,13.3,FC04|FC05,25
SKU0012,Mobiles Item 012,Mobiles & Accessories,3896.4,4869.68,5,12.9,FC05|FC02|FC01,50
SKU0013,Mobiles Item 013,Mobiles & Accessories,7235.22,9682.86,14,11.8,FC03|FC01|FC02|FC05,50
SKU0014,Mobiles Item 014,Mobiles & Accessories,14446.06,18205.08,2,16.7,FC05|FC02|FC01|FC03,25
SKU0015,Mobiles Item 015,Mobiles & Accessories,4432.64,5241.72,7,32.3,FC05|FC01|FC03,50
SKU0016,Mobiles Item 016,Mobiles & Accessories,2387.99,3025.75,4,9.3,FC01|FC04|FC02,25
SKU0017,Mobiles Item 017,Mobiles & Accessories,4351.88,5093.4,3,26.6,FC04|FC01|FC05,25
SKU0018,Mobiles Item 018,Mobiles & Accessories,14771.59,19785.43,4,23.6,FC03|FC02|FC01|FC05,20
SKU0019,Mobiles Item 019,Mobiles & Accessories,10691.0,13495.66,7,8.7,FC04|FC03|FC02|FC01,50
SKU0020,Mobiles Item 020,Mobiles & Accessories,6357.24,7748.89,7,31.3,FC03|FC05,20
SKU0021,Electronics Item 001,Electronics & Appliances,1929.87,2452.67,7,9.3,FC05|FC01|FC02|FC04,25
SKU0022,Electronics Item 002,Electronics & Appliances,10107.23,12112.91,2,5.8,FC04|FC03|FC01,50
SKU0023,Electronics Item 003,Electronics & Appliances,33307.45,40172.92,3,11.8,FC04|FC02|FC01|FC05,50
SKU0024,Electronics Item 004,Electronics & Appliances,10347.99,12400.02,2,7.1,FC02|FC03|FC05|FC01,100
SKU0025,Electronics Item 005,Electronics & Appliances,7171.21,9481.61,14,16.2,FC01|FC05|FC02,20
SKU0026,Electronics Item 006,Electronics & Appliances,5314.93,6625.67,4,5.1,FC05|FC04|FC03,100
SKU0027,Electronics Item 007,Electronics & Appliances,26255.11,32420.71,2,5.2,FC05|FC04|FC02|FC01,50
SKU0028,Electronics Item 008,Electronics & Appliances,32422.99,43038.5,2,18.7,FC05|FC03|FC01,10
SKU0029,Electronics Item 009,Electronics & Appliances,16197.33,19324.27,10,13.1,FC03|FC02|FC01|FC04,10
SKU0030,Electronics Item 010,Electronics & Appliances,30606.89,37460.57,4,7.0,FC05|FC03|FC04,25
SKU0031,Electronics Item 011,Electronics & Appliances,13363.5,17338.31,10,14.1,FC05|FC01|FC02,50
SKU0032,Electronics Item 012,Electronics & Appliances,26958.53,36892.16,5,4.1,FC05|FC01,20
SKU0033,Electronics Item 013,Electronics & Appliances,5959.53,7158.28,3,5.8,FC02|FC01,10
SKU0034,Electronics Item 014,Electronics & Appliances,2401.21,3247.53,5,3.9,FC05|FC02|FC03,25
SKU0035,Electronics Item 015,Electronics & Appliances,32520.42,39475.09,3,3.7,FC01|FC02,25
SKU0036,Electronics Item 016,Electronics & Appliances,13894.65,19198.22,4,9.4,FC05|FC01,10
SKU0037,Electronics Item 017,Electronics & Appliances,30423.62,41677.94,10,17.3,FC01|FC05|FC03|FC04,50
SKU0038,Electronics Item 018,Electronics & Appliances,5292.51,6746.34,10,11.7,FC04|FC03|FC02,20
SKU0039,Electronics Item 019,Electronics & Appliances,5422.72,6976.9,3,10.1,FC04|FC05|FC02,20
SKU0040,Electronics Item 020,Electronics & Appliances,23476.82,31109.54,10,19.1,FC03|FC05|FC02,100
SKU0041,Fashion Item 001,Fashion & Apparel,1565.15,2713.57,5,36.6,FC04|FC01,20
SKU0042,Fashion Item 002,Fashion & Apparel,1669.46,2869.75,5,16.6,FC03|FC04,10
SKU0043,Fashion Item 003,Fashion & Apparel,1949.05,3761.98,7,57.9,FC02|FC04|FC05,100
SKU0044,Fashion Item 004,Fashion & Apparel,689.89,1236.52,5,14.8,FC03|FC01,25
SKU0045,Fashion Item 005,Fashion & Apparel,1116.76,2023.15,7,48.2,FC01|FC03|FC05,10
SKU0046,Fashion Item 006,Fashion & Apparel,376.19,732.28,4,42.9,FC01|FC03|FC02|FC04,50
SKU0047,Fashion Item 007,Fashion & Apparel,699.45,1299.98,3,25.7,FC01|FC05,25
SKU0048,Fashion Item 008,Fashion & Apparel,979.21,1717.28,10,37.6,FC03|FC02|FC05|FC01,50
SKU0049,Fashion Item 009,Fashion & Apparel,1971.93,3818.42,5,52.5,FC03|FC02,50
SKU0050,Fashion Item 010,Fashion & Apparel,188.1,344.52,3,51.3,FC05|FC02|FC01,100
SKU0051,Fashion Item 011,Fashion & Apparel,1645.08,3189.79,10,59.9,FC05|FC04,10
SKU0052,Fashion Item 012,Fashion & Apparel,2255.89,3995.69,2,42.5,FC04|FC05|FC02|FC01,50
SKU0053,Fashion Item 013,Fashion & Apparel,605.1,1032.36,2,42.8,FC01|FC05,50
SKU0054,Fashion Item 014,Fashion & Apparel,1720.36,3264.48,2,52.5,FC02|FC03|FC01|FC04,100
