sku_id,on_hand_units
SKU0001,0
SKU0002,0
SKU0003,1
SKU0004,0
SKU0005,95
SKU0006,18
SKU0007,0
SKU0008,0
SKU0009,21
SKU0010,0
SKU0011,84
SKU0012,28
SKU0013,58
SKU0014,117
SKU0015,42
SKU0016,0
SKU0017,0
SKU0018,0
SKU0019,45
SKU0020,44
SKU0021,62
SKU0022,99
SKU0023,48
SKU0024,158
SKU0025,19
SKU0026,31
SKU0027,92
SKU0028,133
SKU0029,0
SKU0030,0
SKU0031,0
SKU0032,9
SKU0033,0
SKU0034,8
SKU0035,10
SKU0036,0
SKU0037,0
SKU0038,0
SKU0039,0
SKU0040,9
SKU0041,0
SKU0042,0
SKU0043,57
SKU0044,0
SKU0045,31
SKU0046,0
SKU0047,0
SKU0048,0
SKU0049,0
SKU0050,0
SKU0051,0
SKU0052,299
SKU0053,308
SKU0054,348
SKU0055,0
SKU0056,30
SKU0057,131
SKU0058,271
SKU0059,0
SKU0060,0
SKU0061,0
SKU0062,0
SKU0063,0
SKU0064,116
SKU0065,10
SKU0066,73
SKU0067,0
SKU0068,29
SKU0069,0
SKU0070,0
SKU0071,0
SKU0072,0
SKU0073,262
SKU0074,0
SKU0075,54
SKU0076,0
SKU0077,42
SKU0078,190
SKU0079,11
SKU0080,42
SKU0081,213
SKU0082,0
SKU0083,0
SKU0084,61
SKU0085,0
SKU0086,0
SKU0087,0
SKU0088,0
SKU0089,50
SKU0090,86
SKU0091,18
SKU0092,0
SKU0093,0
SKU0094,60
SKU0095,124
SKU0096,0
SKU0097,69
SKU0098,0
SKU0099,26
SKU0100,0
SKU0101,20
SKU0102,0
SKU0103,0
SKU0104,27
SKU0105,0
SKU0106,0
SKU0107,0
SKU0108,0
SKU0109,58
SKU0110,18
SKU0111,0
SKU0112,0
SKU0113,134
SKU0114,135
SKU0115,185
SKU0116,0
SKU0117,0
SKU0118,0
SKU0119,0
SKU0120,0
SKU0121,0
SKU0122,24
SKU0123,0
SKU0124,58
SKU0125,39
SKU0126,238
SKU0127,0
SKU0128,0
SKU0129,117
SKU0130,0
SKU0131,0
SKU0132,12
SKU0133,0
SKU0134,97
SKU0135,458
SKU0136,0
SKU0137,17
SKU0138,0
SKU0139,0
SKU0140,532
SKU0141,140
SKU0142,450
SKU0143,0
SKU0144,332
SKU0145,104
SKU0146,393
SKU0147,55
SKU0148,530
SKU0149,0
SKU0150,0
