sku_id,category,units_sold_12m,revenue_12m,gross_margin_12m,revenue_rank,cumulative_pct_revenue,abc_class
SKU0028,Electronics & Appliances,7714,331998989.0,81888044.14,1,5.14,A
SKU0037,Electronics & Appliances,7485,311959380.9,84238585.2,2,9.96,A
SKU0001,Mobiles & Accessories,14554,284890474.88,59206981.86,3,14.37,A
SKU0040,Electronics & Appliances,8484,263933337.36,64755996.48,4,18.45,A
SKU0023,Electronics & Appliances,5343,214643911.56,36682206.21,5,21.77,A
SKU0003,Mobiles & Accessories,14063,201235764.17,51482392.92,6,24.89,A
SKU0018,Mobiles & Accessories,9600,189940128.0,48132864.0,7,27.83,A
SKU0002,Mobiles & Accessories,9249,183734437.17,45492871.32,8,30.67,A
SKU0006,Mobiles & Accessories,6988,146636960.68,25568532.96,9,32.94,A
SKU0014,Mobiles & Accessories,6869,125050694.52,25820708.38,10,34.87,A
SKU0030,Electronics & Appliances,3137,117513808.09,21499994.16,11,36.69,A
SKU0031,Electronics & Appliances,6144,106526576.64,24421232.64,12,38.34,A
SKU0029,Electronics & Appliances,5126,99056208.02,16028694.44,13,39.87,A
SKU0020,Mobiles & Accessories,12382,95946755.98,17231410.3,14,41.35,A
SKU0043,Fashion & Apparel,22842,85931147.16,41410947.06,15,42.68,A
SKU0049,Fashion & Apparel,21455,81924201.1,39616442.95,16,43.95,A
SKU0068,Fashion & Apparel,20023,79266852.17,35279725.08,17,45.18,A
SKU0007,Mobiles & Accessories,13582,78734854.0,20711870.9,18,46.4,A
SKU0051,Fashion & Apparel,23967,76449696.93,37022064.57,19,47.58,A
SKU0027,Electronics & Appliances,2354,76318351.34,14513822.4,20,48.76,A
SKU0036,Electronics & Appliances,3827,73471587.94,20296762.39,21,49.9,A
SKU0054,Fashion & Apparel,22218,72530216.64,34307258.16,22,51.02,A
SKU0052,Fashion & Apparel,17757,70951467.33,30893628.6,23,52.12,A
SKU0015,Mobiles & Accessories,12661,66365416.92,10243761.88,24,53.14,A
SKU0072,Fashion & Apparel,19279,66003006.03,29802634.94,25,54.16,A
SKU0032,Electronics & Appliances,1768,65225338.88,17562657.84,26,55.17,A
SKU0098,Home & Kitchen,12671,64947998.12,29067147.29,27,56.18,A
SKU0035,Electronics & Appliances,1565,61778515.85,10884058.55,28,57.13,A
