sku_id,days_observed,avg_daily_demand,stddev_daily_demand
SKU0001,90,52.63,24.39
SKU0002,90,33.32,16.7
SKU0003,90,53.84,27.0
SKU0004,90,14.69,8.05
SKU0005,90,21.77,10.92
SKU0006,90,27.13,14.8
SKU0007,90,49.72,23.57
SKU0008,90,44.82,22.42
SKU0009,90,13.59,7.63
SKU0010,90,26.71,13.2
SKU0011,90,20.89,11.88
SKU0012,90,20.46,10.62
SKU0013,90,18.09,10.04
SKU0014,90,25.54,13.62
SKU0015,90,48.62,25.34
SKU0016,90,13.93,7.74
SKU0017,90,41.23,20.96
SKU0018,90,34.74,17.81
SKU0019,90,13.22,7.7
SKU0020,90,48.81,24.94
SKU0021,90,14.43,7.64
SKU0022,90,8.32,4.83
SKU0023,90,18.4,9.41
SKU0024,90,10.13,5.89
SKU0025,90,23.96,11.95
SKU0026,90,8.14,4.72
SKU0027,90,7.79,4.54
SKU0028,90,29.18,14.96
SKU0029,90,19.89,9.36
SKU0030,90,11.44,7.03
SKU0031,90,21.23,10.95
SKU0032,90,6.1,3.98
SKU0033,90,9.17,5.34
SKU0034,90,5.53,3.14
SKU0035,90,5.17,3.4
SKU0036,90,15.37,8.0
SKU0037,90,26.64,12.84
SKU0038,90,17.63,9.93
SKU0039,90,15.59,8.9
SKU0040,90,29.78,14.35
SKU0041,90,55.38,29.55
SKU0042,90,25.87,13.69
SKU0043,90,87.76,40.8
SKU0044,90,22.93,12.29
SKU0045,90,74.36,34.86
SKU0046,90,65.66,33.64
SKU0047,90,40.19,18.92
SKU0048,90,57.59,28.84
SKU0049,90,80.22,39.38
SKU0050,90,79.48,37.36
SKU0051,90,91.49,43.35
SKU0052,90,66.0,31.35
SKU0053,90,66.68,34.04
SKU0054,90,79.5,39.66
SKU0055,90,24.37,12.89
SKU0056,90,34.9,18.17
SKU0057,90,29.31,14.98
SKU0058,90,60.13,29.28
SKU0059,90,53.89,26.38
SKU0060,90,62.51,29.55
SKU0061,90,47.24,22.79
SKU0062,90,66.57,31.0
SKU0063,90,82.64,39.92
SKU0064,90,24.68,13.98
SKU0065,90,15.86,8.82
SKU0066,90,89.69,44.0
SKU0067,90,31.16,15.14
SKU0068,90,80.67,40.4
SKU0069,90,48.3,24.15
SKU0070,90,36.34,18.72
SKU0071,90,63.92,28.65
SKU0072,90,72.54,35.13
SKU0073,90,53.91,27.04
SKU0074,90,16.94,9.08
SKU0075,90,63.21,33.13
SKU0076,90,44.48,20.99
SKU0077,90,52.79,27.69
SKU0078,90,9.3,5.24
SKU0079,90,11.36,6.45
SKU0080,90,37.84,18.71
SKU0081,90,47.1,25.79
SKU0082,90,18.14,8.52
SKU0083,90,47.84,25.47
SKU0084,90,20.97,10.36
SKU0085,90,25.36,14.14
SKU0086,90,28.54,15.17
SKU0087,90,48.13,24.06
SKU0088,90,20.76,9.3
SKU0089,90,42.99,19.15
SKU0090,90,16.71,9.2
SKU0091,90,9.07,5.42
SKU0092,90,31.03,17.03
SKU0093,90,16.8,9.71
SKU0094,90,31.17,15.88
SKU0095,90,18.82,8.93
SKU0096,90,39.79,20.89
SKU0097,90,9.21,4.88
SKU0098,90,47.18,23.69
SKU0099,90,28.13,13.54
SKU0100,90,27.21,13.58
SKU0101,90,40.53,21.03
SKU0102,90,40.69,19.51
SKU0103,90,13.04,6.61
SKU0104,90,38.74,19.15
SKU0105,90,34.69,17.79
SKU0106,90,40.51,19.87
SKU0107,90,68.93,34.13
SKU0108,90,72.62,35.99
SKU0109,90,59.59,30.32
SKU0110,90,26.9,13.82
SKU0111,90,38.98,17.96
SKU0112,90,27.21,14.07
SKU0113,90,30.46,13.62
SKU0114,90,31.79,15.45
SKU0115,90,33.44,17.03
SKU0116,90,33.4,17.29
SKU0117,90,30.06,15.46
SKU0118,90,61.43,29.82
SKU0119,90,40.84,20.33
SKU0120,90,47.6,23.12
SKU0121,90,47.53,23.09
SKU0122,90,44.1,23.01
SKU0123,90,23.03,10.27
SKU0124,90,76.03,37.42
SKU0125,90,35.89,17.68
SKU0126,90,54.71,27.09
SKU0127,90,38.29,19.1
SKU0128,90,73.44,36.35
SKU0129,90,69.5,33.67
SKU0130,90,40.08,21.47
SKU0131,90,75.18,37.73
SKU0132,90,33.3,17.62
SKU0133,90,44.31,21.9
SKU0134,90,88.36,41.4
SKU0135,90,105.92,49.08
SKU0136,90,65.47,33.38
SKU0137,90,121.74,60.64
SKU0138,90,100.5,48.12
SKU0139,90,122.42,58.32
SKU0140,90,112.83,56.76
SKU0141,90,129.57,61.83
SKU0142,90,101.16,48.58
SKU0143,90,139.01,66.38
SKU0144,90,77.09,36.69
SKU0145,90,64.46,30.07
SKU0146,90,85.6,42.76
SKU0147,90,100.23,49.34
SKU0148,90,117.58,55.93
SKU0149,90,79.86,38.96
SKU0150,90,49.47,24.62
