sku_id,abc_class,network_on_hand_units,reorder_point_units,safety_stock_units,avg_daily_demand,supplier_lead_time_days,action,suggested_order_qty
SKU0001,A,0.0,375.0,111.8,52.63,5,REORDER NOW,1217.0
SKU0002,A,0.0,201.8,68.5,33.32,4,REORDER NOW,768.0
SKU0003,A,1.0,393.0,123.8,53.84,5,REORDER NOW,1253.0
SKU0006,A,18.0,270.2,80.3,27.13,7,REORDER NOW,632.0
SKU0007,A,0.0,356.6,108.0,49.72,5,REORDER NOW,1152.0
SKU0008,A,0.0,271.2,91.9,44.82,4,REORDER NOW,1033.0
SKU0009,A,21.0,85.6,31.3,13.59,4,REORDER NOW,296.0
SKU0010,A,0.0,127.0,46.9,26.71,3,REORDER NOW,608.0
SKU0012,A,28.0,151.0,48.7,20.46,5,REORDER NOW,450.0
SKU0013,A,58.0,330.3,77.0,18.09,14,REORDER NOW,399.0
SKU0015,A,42.0,477.8,137.4,48.62,7,REORDER NOW,1116.0
SKU0017,A,0.0,198.1,74.4,41.23,3,REORDER NOW,940.0
SKU0018,A,0.0,212.0,73.0,34.74,4,REORDER NOW,803.0
SKU0019,A,45.0,134.3,41.8,13.22,7,REORDER NOW,274.0
SKU0020,A,44.0,476.9,135.3,48.81,7,REORDER NOW,1116.0
SKU0023,A,48.0,88.6,33.4,18.4,3,REORDER NOW,372.0
SKU0025,A,19.0,427.1,91.7,23.96,14,REORDER NOW,576.0
SKU0029,A,0.0,259.6,60.7,19.89,10,REORDER NOW,478.0
SKU0030,A,0.0,74.6,28.8,11.44,4,REORDER NOW,269.0
SKU0031,A,0.0,283.3,71.0,21.23,10,REORDER NOW,517.0
SKU0032,A,9.0,48.7,18.2,6.1,5,REORDER NOW,137.0
SKU0035,A,10.0,27.6,12.1,5.17,3,REORDER NOW,111.0
SKU0036,A,0.0,94.3,32.8,15.37,4,REORDER NOW,356.0
SKU0037,A,0.0,349.6,83.2,26.64,10,REORDER NOW,643.0
SKU0038,A,0.0,240.7,64.4,17.63,10,REORDER NOW,435.0
SKU0040,A,9.0,390.8,93.0,29.78,10,REORDER NOW,709.0
SKU0041,A,0.0,412.4,135.5,55.38,5,REORDER NOW,1298.0
SKU0043,A,57.0,835.6,221.3,87.76,7,REORDER NOW,2007.0
