sku_id,abc_class,avg_daily_demand,stddev_daily_demand,supplier_lead_time_days,service_level_z,safety_stock_units,reorder_point_units,moq_units
SKU0001,A,52.63,24.39,5,2.05,111.8,375.0,50
SKU0002,A,33.32,16.7,4,2.05,68.5,201.8,20
SKU0003,A,53.84,27.0,5,2.05,123.8,393.0,50
SKU0004,B,14.69,8.05,3,1.65,23.0,67.1,20
SKU0005,A,21.77,10.92,2,2.05,31.7,75.2,25
SKU0006,A,27.13,14.8,7,2.05,80.3,270.2,10
SKU0007,A,49.72,23.57,5,2.05,108.0,356.6,25
SKU0008,A,44.82,22.42,4,2.05,91.9,271.2,25
SKU0009,A,13.59,7.63,4,2.05,31.3,85.6,100
SKU0010,A,26.71,13.2,3,2.05,46.9,127.0,50
SKU0011,A,20.89,11.88,2,2.05,34.4,76.2,25
SKU0012,A,20.46,10.62,5,2.05,48.7,151.0,50
SKU0013,A,18.09,10.04,14,2.05,77.0,330.3,50
SKU0014,A,25.54,13.62,2,2.05,39.5,90.6,25
SKU0015,A,48.62,25.34,7,2.05,137.4,477.8,50
SKU0016,C,13.93,7.74,4,1.28,19.8,75.5,25
SKU0017,A,41.23,20.96,3,2.05,74.4,198.1,25
SKU0018,A,34.74,17.81,4,2.05,73.0,212.0,20
SKU0019,A,13.22,7.7,7,2.05,41.8,134.3,50
SKU0020,A,48.81,24.94,7,2.05,135.3,476.9,20
SKU0021,C,14.43,7.64,7,1.28,25.9,126.9,25
SKU0022,A,8.32,4.83,2,2.05,14.0,30.6,50
SKU0023,A,18.4,9.41,3,2.05,33.4,88.6,50
SKU0024,A,10.13,5.89,2,2.05,17.1,37.3,100
SKU0025,A,23.96,11.95,14,2.05,91.7,427.1,20
SKU0026,B,8.14,4.72,4,1.65,15.6,48.1,100
SKU0027,A,7.79,4.54,2,2.05,13.2,28.7,50
SKU0028,A,29.18,14.96,2,2.05,43.4,101.7,10
SKU0029,A,19.89,9.36,10,2.05,60.7,259.6,10
SKU0030,A,11.44,7.03,4,2.05,28.8,74.6,25
SKU0031,A,21.23,10.95,10,2.05,71.0,283.3,50
SKU0032,A,6.1,3.98,5,2.05,18.2,48.7,20
SKU0033,B,9.17,5.34,3,1.65,15.3,42.8,10
SKU0034,C,5.53,3.14,5,1.28,9.0,36.6,25
SKU0035,A,5.17,3.4,3,2.05,12.1,27.6,25
SKU0036,A,15.37,8.0,4,2.05,32.8,94.3,10
SKU0037,A,26.64,12.84,10,2.05,83.2,349.6,50
SKU0038,A,17.63,9.93,10,2.05,64.4,240.7,20
SKU0039,B,15.59,8.9,3,1.65,25.4,72.2,20
SKU0040,A,29.78,14.35,10,2.05,93.0,390.8,100
SKU0041,A,55.38,29.55,5,2.05,135.5,412.4,20
SKU0042,B,25.87,13.69,5,1.65,50.5,179.9,10
SKU0043,A,87.76,40.8,7,2.05,221.3,835.6,100
SKU0044,C,22.93,12.29,5,1.28,35.2,149.8,25
SKU0045,A,74.36,34.86,7,2.05,189.1,709.6,10
SKU0046,C,65.66,33.64,4,1.28,86.1,348.8,50
SKU0047,B,40.19,18.92,3,1.65,54.1,174.6,25
SKU0048,B,57.59,28.84,10,1.65,150.5,726.4,50
SKU0049,A,80.22,39.38,5,2.05,180.5,581.6,50
SKU0050,C,79.48,37.36,3,1.28,82.8,321.3,100
SKU0051,A,91.49,43.35,10,2.05,281.0,1195.9,10
SKU0052,A,66.0,31.35,2,2.05,90.9,222.9,50
SKU0053,B,66.68,34.04,2,1.65,79.4,212.8,50
SKU0054,A,79.5,39.66,2,2.05,115.0,274.0,100
SKU0055,C,24.37,12.89,4,1.28,33.0,130.5,10
SKU0056,B,34.9,18.17,7,1.65,79.3,323.6,10
SKU0057,B,29.31,14.98,2,1.65,35.0,93.6,25
SKU0058,A,60.13,29.28,2,2.05,84.9,205.1,50
SKU0059,A,53.89,26.38,4,2.05,108.2,323.7,20
SKU0060,B,62.51,29.55,5,1.65,109.0,421.6,25
SKU0061,B,47.24,22.79,4,1.65,75.2,264.2,25
SKU0062,A,66.57,31.0,3,2.05,110.1,309.8,20
SKU0063,A,82.64,39.92,10,2.05,258.8,1085.2,20
SKU0064,B,24.68,13.98,2,1.65,32.6,82.0,10
SKU0065,C,15.86,8.82,7,1.28,29.9,140.9,10
SKU0066,A,89.69,44.0,7,2.05,238.6,866.5,20
SKU0067,B,31.16,15.14,4,1.65,50.0,174.6,100
SKU0068,A,80.67,40.4,14,2.05,309.9,1439.3,20
SKU0069,C,48.3,24.15,4,1.28,61.8,255.0,100
SKU0070,C,36.34,18.72,4,1.28,47.9,193.3,20
SKU0071,A,63.92,28.65,5,2.05,131.3,450.9,20
SKU0072,A,72.54,35.13,10,2.05,227.7,953.1,100
SKU0073,B,53.91,27.04,2,1.65,63.1,170.9,10
SKU0074,C,16.94,9.08,10,1.28,36.8,206.2,10
SKU0075,B,63.21,33.13,14,1.65,204.5,1089.5,100
SKU0076,A,44.48,20.99,10,2.05,136.1,580.9,25
SKU0077,A,52.79,27.69,14,2.05,212.4,951.5,50
SKU0078,C,9.3,5.24,7,1.28,17.7,82.8,100
SKU0079,C,11.36,6.45,5,1.28,18.5,75.3,20
SKU0080,C,37.84,18.71,7,1.28,63.4,328.2,10
SKU0081,B,47.1,25.79,2,1.65,60.2,154.4,25
SKU0082,B,18.14,8.52,10,1.65,44.5,225.9,25
SKU0083,A,47.84,25.47,3,2.05,90.4,234.0,50
SKU0084,A,20.97,10.36,4,2.05,42.5,126.4,100
SKU0085,B,25.36,14.14,10,1.65,73.8,327.4,10
SKU0086,C,28.54,15.17,5,1.28,43.4,186.1,50
SKU0087,A,48.13,24.06,3,2.05,85.4,229.8,50
SKU0088,B,20.76,9.3,3,1.65,26.6,88.9,20
SKU0089,A,42.99,19.15,4,2.05,78.5,250.5,100
SKU0090,B,16.71,9.2,5,1.65,33.9,117.5,100
SKU0091,C,9.07,5.42,14,1.28,26.0,152.9,20
SKU0092,C,31.03,17.03,3,1.28,37.8,130.8,20
SKU0093,C,16.8,9.71,3,1.28,21.5,71.9,10
SKU0094,A,31.17,15.88,4,2.05,65.1,189.8,100
SKU0095,C,18.82,8.93,4,1.28,22.9,98.1,100
SKU0096,C,39.79,20.89,3,1.28,46.3,165.7,100
SKU0097,C,9.21,4.88,2,1.28,8.8,27.3,25
SKU0098,A,47.18,23.69,5,2.05,108.6,344.5,100
SKU0099,C,28.13,13.54,5,1.28,38.8,179.4,50
SKU0100,B,27.21,13.58,3,1.65,38.8,120.4,20
SKU0101,C,40.53,21.03,7,1.28,71.2,354.9,25
SKU0102,C,40.69,19.51,3,1.28,43.3,165.3,10
SKU0103,B,13.04,6.61,10,1.65,34.5,164.9,10
SKU0104,A,38.74,19.15,7,2.05,103.9,375.0,20
SKU0105,A,34.69,17.79,5,2.05,81.5,255.0,25
SKU0106,B,40.51,19.87,4,1.65,65.6,227.6,25
SKU0107,B,68.93,34.13,4,1.65,112.6,388.3,10
SKU0108,C,72.62,35.99,3,1.28,79.8,297.7,20
SKU0109,B,59.59,30.32,7,1.65,132.4,549.5,100
SKU0110,B,26.9,13.82,7,1.65,60.3,248.6,20
SKU0111,B,38.98,17.96,3,1.65,51.3,168.3,50
SKU0112,B,27.21,14.07,4,1.65,46.4,155.3,50
SKU0113,C,30.46,13.62,2,1.28,24.7,85.6,10
SKU0114,C,31.79,15.45,2,1.28,28.0,91.5,25
SKU0115,C,33.44,17.03,7,1.28,57.7,291.8,100
SKU0116,C,33.4,17.29,5,1.28,49.5,216.5,50
SKU0117,C,30.06,15.46,3,1.28,34.3,124.5,20
SKU0118,B,61.43,29.82,3,1.65,85.2,269.5,20
SKU0119,B,40.84,20.33,4,1.65,67.1,230.4,100
SKU0120,B,47.6,23.12,3,1.65,66.1,208.9,100
SKU0121,B,47.53,23.09,4,1.65,76.2,266.3,10
SKU0122,C,44.1,23.01,14,1.28,110.2,727.6,20
SKU0123,C,23.03,10.27,10,1.28,41.6,271.9,25
SKU0124,B,76.03,37.42,7,1.65,163.4,695.6,100
SKU0125,C,35.89,17.68,7,1.28,59.9,311.1,20
SKU0126,A,54.71,27.09,2,2.05,78.5,188.0,10
SKU0127,C,38.29,19.1,10,1.28,77.3,460.2,50
SKU0128,A,73.44,36.35,3,2.05,129.1,349.4,100
SKU0129,C,69.5,33.67,7,1.28,114.0,600.5,100
SKU0130,C,40.08,21.47,5,1.28,61.5,261.9,25
